report_id,employee_id,company_id,transaction_id,report_date,amount,currency,category,status,approved_by
401,201,1,1001,2024-01-06,250.00,EUR,Software,Approved,202
402,201,1,1002,2024-01-13,89.99,EUR,Travel,Approved,202
403,202,1,1003,2024-01-16,1200.00,EUR,Equipment,Pending,NULL
404,204,2,1004,2024-01-09,3500.00,EUR,Energy,Approved,NULL
405,206,3,1005,2024-01-20,450.00,EUR,Marketing,Approved,207
406,208,4,1006,2024-01-25,2800.00,EUR,Healthcare,Approved,NULL
407,209,4,1007,2024-01-28,320.00,EUR,Healthcare,Approved,NULL
408,210,5,1008,2024-01-30,1800.00,EUR,Food & Beverage,Approved,NULL
409,213,7,1009,2024-02-01,5200.00,EUR,Software,Approved,NULL
410,214,7,1010,2024-02-03,3100.00,EUR,Software,Approved,NULL
411,201,1,1011,2024-02-05,150.00,EUR,Travel,Approved,202
412,202,1,1012,2024-02-08,890.00,EUR,Equipment,Pending,NULL
413,204,2,1013,2024-02-12,4200.00,EUR,Energy,Approved,NULL
414,206,3,1014,2024-02-15,280.00,EUR,Marketing,Approved,207
415,208,4,1015,2024-02-20,3500.00,EUR,Healthcare,Approved,NULL
416,209,4,1016,2024-02-22,180.00,EUR,Healthcare,Pending,NULL
417,210,5,1017,2024-02-24,2100.00,EUR,Food & Beverage,Pending,NULL
418,213,7,1018,2024-02-26,6800.00,EUR,Software,Approved,NULL
419,215,8,1019,2024-02-28,950.00,EUR,Construction,Approved,NULL
420,216,9,1020,2024-03-01,4500.00,EUR,Travel,Approved,NULL
421,217,10,1021,2024-03-03,320.00,EUR,Food & Beverage,Approved,NULL
422,201,1,1022,2024-03-06,75.00,EUR,Software,Approved,202
423,204,2,1023,2024-03-10,2800.00,EUR,Energy,Pending,NULL
424,213,7,1024,2024-03-12,9500.00,EUR,Software,Approved,NULL
425,214,7,1025,2024-03-16,4200.00,EUR,Software,Approved,NULL
426,208,4,1026,2024-03-20,1200.00,EUR,Healthcare,Rejected,NULL
427,206,3,1027,2024-03-22,450.00,EUR,Marketing,Approved,207
428,216,9,1028,2024-03-24,3800.00,EUR,Travel,Approved,NULL
429,217,10,1029,2024-03-26,280.00,EUR,Food & Beverage,Approved,NULL
430,212,6,1031,2024-01-16,3200.00,EUR,Logistics,Approved,NULL
431,212,6,1032,2024-02-19,2900.00,EUR,Logistics,Approved,NULL
432,212,6,1033,2024-03-21,4100.00,EUR,Logistics,Pending,NULL
