transaction_id,card_id,company_id,date,amount,currency,category,merchant,status,country
1001,101,1,2024-01-05,250.00,EUR,Software,Adobe Inc,Completed,USA
1002,101,1,2024-01-12,89.99,EUR,Travel,Ryanair,Completed,Ireland
1003,102,1,2024-01-15,1200.00,EUR,Equipment,Dell Technologies,Completed,Germany
1004,103,2,2024-01-08,3500.00,EUR,Energy,Siemens,Completed,Germany
1005,104,3,2024-01-10,450.00,EUR,Marketing,Metro Ads,Completed,Germany
1006,105,4,2024-01-20,2800.00,EUR,Healthcare,Philips Healthcare,Completed,Netherlands
1007,106,4,2024-01-22,320.00,EUR,Healthcare,Local Clinic,Completed,Austria
1008,107,5,2024-01-25,1800.00,EUR,Food & Beverage,Metro Wholesale,Completed,Germany
1009,109,7,2024-01-28,5200.00,EUR,Software,AWS,Completed,USA
1010,110,7,2024-01-30,3100.00,EUR,Software,Microsoft,Completed,USA
1011,101,1,2024-02-03,150.00,EUR,Travel,Booking.com,Completed,Netherlands
1012,102,1,2024-02-07,890.00,EUR,Equipment,Apple,Completed,USA
1013,103,2,2024-02-10,4200.00,EUR,Energy,ABB,Completed,Switzerland
1014,104,3,2024-02-14,280.00,EUR,Marketing,Google Ads,Completed,Germany
1015,105,4,2024-02-18,3500.00,EUR,Healthcare,GE Healthcare,Completed,USA
1016,106,4,2024-02-20,180.00,EUR,Healthcare,MedSupply,Completed,Austria
1017,107,5,2024-02-22,2100.00,EUR,Food & Beverage,Food Supplier,Completed,Germany
1018,109,7,2024-02-25,6800.00,EUR,Software,Salesforce,Completed,USA
1019,111,8,2024-02-26,950.00,EUR,Construction,Bauhaus,Completed,Bulgaria
1020,112,9,2024-02-28,4500.00,EUR,Travel,Lufthansa,Completed,Germany
1021,113,10,2024-03-01,320.00,EUR,Food & Beverage,Uber Eats,Completed,Bulgaria
1022,101,1,2024-03-05,75.00,EUR,Software,Slack,Completed,USA
1023,103,2,2024-03-08,2800.00,EUR,Energy,Schneider Electric,Completed,France
1024,109,7,2024-03-10,9500.00,EUR,Software,Oracle,Completed,USA
1025,110,7,2024-03-15,4200.00,EUR,Software,Google Cloud,Completed,USA
1026,105,4,2024-03-18,1200.00,EUR,Healthcare,Medtronic,Declined,USA
1027,104,3,2024-03-20,450.00,EUR,Marketing,LinkedIn Ads,Completed,Germany
1028,112,9,2024-03-22,3800.00,EUR,Travel,Marriott,Completed,USA
1029,113,10,2024-03-25,280.00,EUR,Food & Beverage,Glovo,Completed,Bulgaria
1030,111,8,2024-03-28,1500.00,EUR,Construction,OBI,Declined,Bulgaria
1031,108,6,2024-01-15,3200.00,EUR,Logistics,DHL,Completed,Germany
1032,108,6,2024-02-18,2900.00,EUR,Logistics,FedEx,Completed,USA
1033,108,6,2024-03-20,4100.00,EUR,Logistics,UPS,Completed,USA
1031,101,1,2024-03-05,500.00,EUR,Software,Adobe Inc,Declined,USA
1032,103,2,2024-03-10,1800.00,EUR,Energy,Siemens,Declined,Germany
1033,104,3,2024-03-12,350.00,EUR,Marketing,Metro Ads,Declined,Germany
1034,104,3,2024-03-15,420.00,EUR,Marketing,Google Ads,Declined,Germany
1035,107,5,2024-03-18,900.00,EUR,Food & Beverage,Metro Wholesale,Declined,Germany
1036,109,7,2024-03-20,2200.00,EUR,Software,AWS,Declined,USA
1037,110,7,2024-03-22,1100.00,EUR,Software,Microsoft,Declined,USA
1038,102,1,2024-03-25,650.00,EUR,Equipment,Dell,Declined,Germany
